word,sentence_id,lexical_n_letters,grammatical_gender,grammatical_number,grammatical_pos,grammatical_tense,grammatical_person,sequential_posit_from_start,sentential_question,structural_depth_in_tree
sneezed,17,3,,,V,past,,2,False,0.0
the,18,1,,,DT,,,0,False,2.0
man,18,1,m,sg,N,,3.0,1,False,1.0
falls,18,2,,sg,N,pres,3.0,2,False,0.0
the,19,1,,,DT,,,0,False,2.0
man,19,1,m,sg,N,,3.0,1,False,1.0
disappears,19,3,,sg,N,pres,3.0,2,False,0.0
the,20,1,,,DT,,,0,False,2.0
man,20,1,m,sg,N,,3.0,1,False,1.0
vanishes,20,3,,sg,N,pres,3.0,2,False,0.0
the,21,1,,,DT,,,0,False,2.0
man,21,1,m,sg,N,,3.0,1,False,1.0
fell,21,2,,,V,past,,2,False,0.0
the,22,1,,,DT,,,0,False,2.0
man,22,1,m,sg,N,,3.0,1,False,1.0
disappeared,22,3,,,V,past,,2,False,0.0
the,23,1,,,DT,,,0,False,2.0
man,23,1,m,sg,N,,3.0,1,False,1.0
vanished,23,3,,,N,past,,2,False,0.0
the,24,1,,,DT,,,0,False,2.0
women,24,2,f,pl,N,,3.0,1,False,1.0
play,24,2,,pl,N,pres,,2,False,0.0
the,25,1,,,DT,,,0,False,2.0
women,25,2,f,pl,N,,3.0,1,False,1.0
sing,25,2,,pl,V,pres,,2,False,0.0
the,26,1,,,DT,,,0,False,2.0
women,26,2,f,pl,N,,3.0,1,False,1.0
sneeze,26,2,,pl,N,pres,,2,False,0.0
the,27,1,,,DT,,,0,False,2.0
women,27,2,f,pl,N,,3.0,1,False,1.0
played,27,2,,,N,past,,2,False,0.0
the,28,1,,,DT,,,0,False,2.0
women,28,2,f,pl,N,,3.0,1,False,1.0
sang,28,2,,,N,past,,2,False,0.0
the,29,1,,,DT,,,0,False,2.0
women,29,2,f,pl,N,,3.0,1,False,1.0
sneezed,29,3,,,V,past,,2,False,0.0
the,30,1,,,DT,,,0,False,2.0
women,30,2,f,pl,N,,3.0,1,False,1.0
fall,30,2,,pl,N,pres,,2,False,0.0
the,31,1,,,DT,,,0,False,2.0
women,31,2,f,pl,N,,3.0,1,False,1.0
disappear,31,3,,pl,N,pres,,2,False,0.0
the,32,1,,,DT,,,0,False,2.0
women,32,2,f,pl,N,,3.0,1,False,1.0
vanish,32,2,,pl,N,pres,,2,False,0.0
the,33,1,,,DT,,,0,False,2.0
women,33,2,f,pl,N,,3.0,1,False,1.0
fell,33,2,,,V,past,,2,False,0.0
the,34,1,,,DT,,,0,False,2.0
women,34,2,f,pl,N,,3.0,1,False,1.0
disappeared,34,3,,,V,past,,2,False,0.0
the,35,1,,,DT,,,0,False,2.0
women,35,2,f,pl,N,,3.0,1,False,1.0
vanished,35,3,,,N,past,,2,False,0.0
the,36,1,,,DT,,,0,False,2.0
men,36,1,m,pl,N,,3.0,1,False,1.0
play,36,2,,pl,N,pres,,2,False,0.0
the,37,1,,,DT,,,0,False,2.0
men,37,1,m,pl,N,,3.0,1,False,1.0
sing,37,2,,pl,V,pres,,2,False,0.0
the,38,1,,,DT,,,0,False,2.0
men,38,1,m,pl,N,,3.0,1,False,1.0
sneeze,38,2,,pl,N,pres,,2,False,0.0
the,39,1,,,DT,,,0,False,2.0
men,39,1,m,pl,N,,3.0,1,False,1.0
played,39,2,,,N,past,,2,False,0.0
the,40,1,,,DT,,,0,False,2.0
men,40,1,m,pl,N,,3.0,1,False,1.0
sang,40,2,,,N,past,,2,False,0.0
the,41,1,,,DT,,,0,False,2.0
men,41,1,m,pl,N,,3.0,1,False,1.0
sneezed,41,3,,,V,past,,2,False,0.0
the,42,1,,,DT,,,0,False,2.0
men,42,1,m,pl,N,,3.0,1,False,1.0
fall,42,2,,pl,N,pres,,2,False,0.0
the,43,1,,,DT,,,0,False,2.0
men,43,1,m,pl,N,,3.0,1,False,1.0
disappear,43,3,,pl,N,pres,,2,False,0.0
the,44,1,,,DT,,,0,False,2.0
men,44,1,m,pl,N,,3.0,1,False,1.0
vanish,44,2,,pl,N,pres,,2,False,0.0
the,45,1,,,DT,,,0,False,2.0
men,45,1,m,pl,N,,3.0,1,False,1.0
fell,45,2,,,V,past,,2,False,0.0
the,46,1,,,DT,,,0,False,2.0
men,46,1,m,pl,N,,3.0,1,False,1.0
disappeared,46,3,,,V,past,,2,False,0.0
the,47,1,,,DT,,,0,False,2.0
men,47,1,m,pl,N,,3.0,1,False,1.0
vanished,47,3,,,N,past,,2,False,0.0
the,48,1,,,DT,,,0,False,2.0
book,48,2,,sg,N,,3.0,1,False,1.0
falls,48,2,,sg,N,pres,3.0,2,False,0.0
the,49,1,,,DT,,,0,False,2.0
book,49,2,,sg,N,,3.0,1,False,1.0
disappears,49,3,,sg,N,pres,3.0,2,False,0.0
the,50,1,,,DT,,,0,False,1.0
book,50,2,,sg,N,,3.0,1,False,1.0
vanishes,50,3,,sg,N,pres,3.0,2,False,0.0
the,51,1,,,DT,,,0,False,2.0
book,51,2,,sg,N,,3.0,1,False,1.0
fell,51,2,,,V,past,,2,False,0.0
the,52,1,,,DT,,,0,False,2.0
book,52,2,,sg,N,,3.0,1,False,1.0
disappeared,52,3,,,V,past,,2,False,0.0
the,53,1,,,DT,,,0,False,2.0
book,53,2,,sg,N,,3.0,1,False,1.0
vanished,53,3,,,N,past,,2,False,0.0
the,54,1,,,DT,,,0,False,2.0
books,54,2,,pl,N,,3.0,1,False,1.0
fall,54,2,,pl,N,pres,,2,False,0.0
the,55,1,,,DT,,,0,False,2.0
books,55,2,,pl,N,,3.0,1,False,1.0
disappear,55,3,,pl,N,pres,,2,False,0.0
the,56,1,,,DT,,,0,False,2.0
books,56,2,,pl,N,,3.0,1,False,1.0
vanish,56,2,,pl,N,pres,,2,False,0.0
the,57,1,,,DT,,,0,False,2.0
books,57,2,,pl,N,,3.0,1,False,1.0
fell,57,2,,,V,past,,2,False,0.0
the,58,1,,,DT,,,0,False,2.0
books,58,2,,pl,N,,3.0,1,False,1.0
disappeared,58,3,,,V,past,,2,False,0.0
the,59,1,,,DT,,,0,False,2.0
books,59,2,,pl,N,,3.0,1,False,1.0
vanished,59,3,,,N,past,,2,False,0.0
I,60,1,,sg,PRP,,1.0,0,False,1.0
play,60,2,,sg,N,pres,1.0,1,False,0.0
I,61,1,,sg,PRP,,1.0,0,False,1.0
sing,61,2,,sg,V,pres,1.0,1,False,0.0
I,62,1,,sg,PRP,,1.0,0,False,1.0
sneeze,62,2,,sg,N,pres,1.0,1,False,0.0
I,63,1,,sg,PRP,,1.0,0,False,1.0
played,63,2,,,N,past,,1,False,0.0
I,64,1,,sg,PRP,,1.0,0,False,1.0
sang,64,2,,,N,past,,1,False,0.0
I,65,1,,sg,PRP,,1.0,0,False,1.0
sneezed,65,3,,,V,past,,1,False,0.0
I,66,1,,sg,PRP,,1.0,0,False,1.0
fall,66,2,,sg,N,pres,1.0,1,False,0.0
I,67,1,,sg,PRP,,1.0,0,False,1.0
disappear,67,3,,sg,N,pres,1.0,1,False,0.0
I,68,1,,sg,PRP,,1.0,0,False,1.0
vanish,68,2,,sg,N,pres,1.0,1,False,0.0
I,69,1,,sg,PRP,,1.0,0,False,1.0
fell,69,2,,,V,past,,1,False,0.0
I,70,1,,sg,PRP,,1.0,0,False,1.0
disappeared,70,3,,,V,past,,1,False,0.0
I,71,1,,sg,PRP,,1.0,0,False,1.0
vanished,71,3,,,N,past,,1,False,0.0
you,72,1,,,PRP,,2.0,0,False,1.0
play,72,2,,pl,N,pres,,1,False,0.0
you,73,1,,,PRP,,2.0,0,False,1.0
play,73,2,,sg,N,pres,2.0,1,False,0.0
you,74,1,,,PRP,,2.0,0,False,1.0
sing,74,2,,pl,V,pres,,1,False,0.0
you,75,1,,,PRP,,2.0,0,False,1.0
sing,75,2,,sg,V,pres,2.0,1,False,0.0
you,76,1,,,PRP,,2.0,0,False,1.0
sneeze,76,2,,pl,N,pres,,1,False,0.0
you,77,1,,,PRP,,2.0,0,False,1.0
sneeze,77,2,,sg,N,pres,2.0,1,False,0.0
you,78,1,,,PRP,,2.0,0,False,1.0
played,78,2,,,N,past,,1,False,0.0
you,79,1,,,PRP,,2.0,0,False,1.0
sang,79,2,,,N,past,,1,False,0.0
you,80,1,,,PRP,,2.0,0,False,1.0
sneezed,80,3,,,V,past,,1,False,0.0
you,81,1,,,PRP,,2.0,0,False,1.0
fall,81,2,,pl,N,pres,,1,False,0.0
you,82,1,,,PRP,,2.0,0,False,1.0
fall,82,2,,sg,N,pres,2.0,1,False,0.0
you,83,1,,,PRP,,2.0,0,False,1.0
disappear,83,3,,pl,N,pres,,1,False,0.0
you,84,1,,,PRP,,2.0,0,False,1.0
disappear,84,3,,sg,N,pres,2.0,1,False,0.0
you,85,1,,,PRP,,2.0,0,False,1.0
vanish,85,2,,pl,N,pres,,1,False,0.0
you,86,1,,,PRP,,2.0,0,False,1.0
vanish,86,2,,sg,N,pres,2.0,1,False,0.0
you,87,1,,,PRP,,2.0,0,False,1.0
fell,87,2,,,V,past,,1,False,0.0
you,88,1,,,PRP,,2.0,0,False,1.0
disappeared,88,3,,,V,past,,1,False,0.0
you,89,1,,,PRP,,2.0,0,False,1.0
vanished,89,3,,,N,past,,1,False,0.0
he,90,1,m,sg,PRP,,3.0,0,False,1.0
plays,90,2,,sg,N,pres,3.0,1,False,0.0
he,91,1,m,sg,PRP,,3.0,0,False,1.0
sings,91,2,,sg,N,pres,3.0,1,False,0.0
he,92,1,m,sg,PRP,,3.0,0,False,1.0
sneezes,92,3,,sg,N,pres,3.0,1,False,0.0
he,93,1,m,sg,PRP,,3.0,0,False,1.0
played,93,2,,,N,past,,1,False,0.0
he,94,1,m,sg,PRP,,3.0,0,False,1.0
sang,94,2,,,N,past,,1,False,0.0
he,95,1,m,sg,PRP,,3.0,0,False,1.0
sneezed,95,3,,,V,past,,1,False,0.0
he,96,1,m,sg,PRP,,3.0,0,False,1.0
falls,96,2,,sg,N,pres,3.0,1,False,0.0
he,97,1,m,sg,PRP,,3.0,0,False,1.0
disappears,97,3,,sg,N,pres,3.0,1,False,0.0
he,98,1,m,sg,PRP,,3.0,0,False,1.0
vanishes,98,3,,sg,N,pres,3.0,1,False,0.0
he,99,1,m,sg,PRP,,3.0,0,False,1.0
fell,99,2,,,V,past,,1,False,0.0
he,100,1,m,sg,PRP,,3.0,0,False,1.0
disappeared,100,3,,,V,past,,1,False,0.0
he,101,1,m,sg,PRP,,3.0,0,False,1.0
vanished,101,3,,,N,past,,1,False,0.0
she,102,1,f,sg,PRP,,3.0,0,False,1.0
plays,102,2,,sg,N,pres,3.0,1,False,0.0
she,103,1,f,sg,PRP,,3.0,0,False,1.0
sings,103,2,,sg,N,pres,3.0,1,False,0.0
she,104,1,f,sg,PRP,,3.0,0,False,1.0
sneezes,104,3,,sg,N,pres,3.0,1,False,0.0
she,105,1,f,sg,PRP,,3.0,0,False,1.0
played,105,2,,,N,past,,1,False,0.0
she,106,1,f,sg,PRP,,3.0,0,False,1.0
sang,106,2,,,N,past,,1,False,0.0
she,107,1,f,sg,PRP,,3.0,0,False,1.0
sneezed,107,3,,,V,past,,1,False,0.0
she,108,1,f,sg,PRP,,3.0,0,False,1.0
falls,108,2,,sg,N,pres,3.0,1,False,0.0
she,109,1,f,sg,PRP,,3.0,0,False,1.0
disappears,109,3,,sg,N,pres,3.0,1,False,0.0
she,110,1,f,sg,PRP,,3.0,0,False,1.0
vanishes,110,3,,sg,N,pres,3.0,1,False,0.0
she,111,1,f,sg,PRP,,3.0,0,False,1.0
fell,111,2,,,V,past,,1,False,0.0
she,112,1,f,sg,PRP,,3.0,0,False,1.0
disappeared,112,3,,,V,past,,1,False,0.0
she,113,1,f,sg,PRP,,3.0,0,False,1.0
vanished,113,3,,,N,past,,1,False,0.0
it,114,1,,sg,PRP,,3.0,0,False,1.0
falls,114,2,,sg,N,pres,3.0,1,False,0.0
it,115,1,,sg,PRP,,3.0,0,False,1.0
disappears,115,3,,sg,N,pres,3.0,1,False,0.0
it,116,1,,sg,PRP,,3.0,0,False,1.0
vanishes,116,3,,sg,N,pres,3.0,1,False,0.0
it,117,1,,sg,PRP,,3.0,0,False,1.0
fell,117,2,,,V,past,,1,False,0.0
it,118,1,,sg,PRP,,3.0,0,False,1.0
disappeared,118,3,,,V,past,,1,False,0.0
it,119,1,,sg,PRP,,3.0,0,False,1.0
vanished,119,3,,,N,past,,1,False,0.0
we,120,1,,pl,PRP,,1.0,0,False,1.0
play,120,2,,pl,N,pres,,1,False,0.0
we,121,1,,pl,PRP,,1.0,0,False,1.0
sing,121,2,,pl,V,pres,,1,False,0.0
we,122,1,,pl,PRP,,1.0,0,False,1.0
sneeze,122,2,,pl,N,pres,,1,False,0.0
we,123,1,,pl,PRP,,1.0,0,False,1.0
played,123,2,,,N,past,,1,False,0.0
we,124,1,,pl,PRP,,1.0,0,False,1.0
sang,124,2,,,N,past,,1,False,0.0
we,125,1,,pl,PRP,,1.0,0,False,1.0
sneezed,125,3,,,V,past,,1,False,0.0
we,126,1,,pl,PRP,,1.0,0,False,1.0
fall,126,2,,pl,N,pres,,1,False,0.0
we,127,1,,pl,PRP,,1.0,0,False,1.0
disappear,127,3,,pl,N,pres,,1,False,0.0
we,128,1,,pl,PRP,,1.0,0,False,1.0
vanish,128,2,,pl,N,pres,,1,False,0.0
we,129,1,,pl,PRP,,1.0,0,False,1.0
fell,129,2,,,V,past,,1,False,0.0
we,130,1,,pl,PRP,,1.0,0,False,1.0
disappeared,130,3,,,V,past,,1,False,0.0
we,131,1,,pl,PRP,,1.0,0,False,1.0
vanished,131,3,,,N,past,,1,False,0.0
they,132,2,,pl,PRP,,3.0,0,False,1.0
play,132,2,,pl,N,pres,,1,False,0.0
they,133,2,,pl,PRP,,3.0,0,False,1.0
sing,133,2,,pl,V,pres,,1,False,0.0
they,134,2,,pl,PRP,,3.0,0,False,1.0
sneeze,134,2,,pl,N,pres,,1,False,0.0
they,135,2,,pl,PRP,,3.0,0,False,1.0
played,135,2,,,N,past,,1,False,0.0
they,136,2,,pl,PRP,,3.0,0,False,1.0
sang,136,2,,,N,past,,1,False,0.0
they,137,2,,pl,PRP,,3.0,0,False,1.0
sneezed,137,3,,,V,past,,1,False,0.0
they,138,2,,pl,PRP,,3.0,0,False,1.0
fall,138,2,,pl,N,pres,,1,False,0.0
they,139,2,,pl,PRP,,3.0,0,False,1.0
disappear,139,3,,pl,N,pres,,1,False,0.0
they,140,2,,pl,PRP,,3.0,0,False,1.0
vanish,140,2,,pl,N,pres,,1,False,0.0
they,141,2,,pl,PRP,,3.0,0,False,1.0
fell,141,2,,,V,past,,1,False,0.0
they,142,2,,pl,PRP,,3.0,0,False,1.0
disappeared,142,3,,,V,past,,1,False,0.0
they,143,2,,pl,PRP,,3.0,0,False,1.0
vanished,143,3,,,N,past,,1,False,0.0
every,144,2,,sg,DT,,,0,False,2.0
woman,144,2,f,sg,N,,3.0,1,False,1.0
plays,144,2,,sg,N,pres,3.0,2,False,0.0
every,145,2,,sg,DT,,,0,False,2.0
woman,145,2,f,sg,N,,3.0,1,False,1.0
sings,145,2,,sg,N,pres,3.0,2,False,0.0
every,146,2,,sg,DT,,,0,False,2.0
woman,146,2,f,sg,N,,3.0,1,False,1.0
sneezes,146,3,,sg,N,pres,3.0,2,False,0.0
every,147,2,,sg,DT,,,0,False,2.0
woman,147,2,f,sg,N,,3.0,1,False,1.0
played,147,2,,,N,past,,2,False,0.0
every,148,2,,sg,DT,,,0,False,2.0
woman,148,2,f,sg,N,,3.0,1,False,1.0
sang,148,2,,,N,past,,2,False,0.0
every,149,2,,sg,DT,,,0,False,2.0
woman,149,2,f,sg,N,,3.0,1,False,1.0
sneezed,149,3,,,V,past,,2,False,0.0
every,150,2,,sg,DT,,,0,False,2.0
woman,150,2,f,sg,N,,3.0,1,False,1.0
falls,150,2,,sg,N,pres,3.0,2,False,0.0
every,151,2,,sg,DT,,,0,False,2.0
woman,151,2,f,sg,N,,3.0,1,False,1.0
disappears,151,3,,sg,N,pres,3.0,2,False,0.0
every,152,2,,sg,DT,,,0,False,2.0
woman,152,2,f,sg,N,,3.0,1,False,1.0
vanishes,152,3,,sg,N,pres,3.0,2,False,0.0
every,153,2,,sg,DT,,,0,False,2.0
woman,153,2,f,sg,N,,3.0,1,False,1.0
fell,153,2,,,V,past,,2,False,0.0
every,154,2,,sg,DT,,,0,False,2.0
woman,154,2,f,sg,N,,3.0,1,False,1.0
disappeared,154,3,,,V,past,,2,False,0.0
every,155,2,,sg,DT,,,0,False,2.0
woman,155,2,f,sg,N,,3.0,1,False,1.0
vanished,155,3,,,N,past,,2,False,0.0
every,156,2,,sg,DT,,,0,False,2.0
man,156,1,m,sg,N,,3.0,1,False,1.0
plays,156,2,,sg,N,pres,3.0,2,False,0.0
every,157,2,,sg,DT,,,0,False,2.0
man,157,1,m,sg,N,,3.0,1,False,1.0
sings,157,2,,sg,N,pres,3.0,2,False,0.0
every,158,2,,sg,DT,,,0,False,2.0
man,158,1,m,sg,N,,3.0,1,False,1.0
sneezes,158,3,,sg,N,pres,3.0,2,False,0.0
every,159,2,,sg,DT,,,0,False,2.0
man,159,1,m,sg,N,,3.0,1,False,1.0
played,159,2,,,N,past,,2,False,0.0
every,160,2,,sg,DT,,,0,False,2.0
man,160,1,m,sg,N,,3.0,1,False,1.0
sang,160,2,,,N,past,,2,False,0.0
every,161,2,,sg,DT,,,0,False,2.0
man,161,1,m,sg,N,,3.0,1,False,1.0
sneezed,161,3,,,V,past,,2,False,0.0
every,162,2,,sg,DT,,,0,False,2.0
man,162,1,m,sg,N,,3.0,1,False,1.0
falls,162,2,,sg,N,pres,3.0,2,False,0.0
every,163,2,,sg,DT,,,0,False,2.0
man,163,1,m,sg,N,,3.0,1,False,1.0
disappears,163,3,,sg,N,pres,3.0,2,False,0.0
every,164,2,,sg,DT,,,0,False,2.0
man,164,1,m,sg,N,,3.0,1,False,1.0
vanishes,164,3,,sg,N,pres,3.0,2,False,0.0
every,165,2,,sg,DT,,,0,False,2.0
man,165,1,m,sg,N,,3.0,1,False,1.0
fell,165,2,,,V,past,,2,False,0.0
every,166,2,,sg,DT,,,0,False,2.0
man,166,1,m,sg,N,,3.0,1,False,1.0
disappeared,166,3,,,V,past,,2,False,0.0
every,167,2,,sg,DT,,,0,False,2.0
man,167,1,m,sg,N,,3.0,1,False,1.0
vanished,167,3,,,N,past,,2,False,0.0
every,168,2,,sg,DT,,,0,False,2.0
book,168,2,,sg,N,,3.0,1,False,1.0
falls,168,2,,sg,N,pres,3.0,2,False,0.0
every,169,2,,sg,DT,,,0,False,2.0
book,169,2,,sg,N,,3.0,1,False,1.0
disappears,169,3,,sg,N,pres,3.0,2,False,0.0
every,170,2,,sg,DT,,,0,False,1.0
book,170,2,,sg,N,,3.0,1,False,1.0
vanishes,170,3,,sg,N,pres,3.0,2,False,0.0
every,171,2,,sg,DT,,,0,False,2.0
book,171,2,,sg,N,,3.0,1,False,1.0
fell,171,2,,,V,past,,2,False,0.0
every,172,2,,sg,DT,,,0,False,2.0
book,172,2,,sg,N,,3.0,1,False,1.0
disappeared,172,3,,,V,past,,2,False,0.0
every,173,2,,sg,DT,,,0,False,2.0
book,173,2,,sg,N,,3.0,1,False,1.0
vanished,173,3,,,N,past,,2,False,0.0
all,174,1,,pl,DT,,,0,False,2.0
women,174,2,f,pl,N,,3.0,1,False,1.0
play,174,2,,pl,N,pres,,2,False,0.0
all,175,1,,pl,DT,,,0,False,2.0
women,175,2,f,pl,N,,3.0,1,False,1.0
sing,175,2,,pl,V,pres,,2,False,0.0
all,176,1,,pl,DT,,,0,False,2.0
women,176,2,f,pl,N,,3.0,1,False,1.0
sneeze,176,2,,pl,N,pres,,2,False,0.0
all,177,1,,pl,DT,,,0,False,2.0
women,177,2,f,pl,N,,3.0,1,False,1.0
played,177,2,,,N,past,,2,False,0.0
all,178,1,,pl,DT,,,0,False,2.0
women,178,2,f,pl,N,,3.0,1,False,1.0
sang,178,2,,,N,past,,2,False,0.0
all,179,1,,pl,DT,,,0,False,2.0
women,179,2,f,pl,N,,3.0,1,False,1.0
sneezed,179,3,,,V,past,,2,False,0.0
all,180,1,,pl,DT,,,0,False,2.0
women,180,2,f,pl,N,,3.0,1,False,1.0
fall,180,2,,pl,N,pres,,2,False,0.0
all,181,1,,pl,DT,,,0,False,2.0
women,181,2,f,pl,N,,3.0,1,False,1.0
disappear,181,3,,pl,N,pres,,2,False,0.0
all,182,1,,pl,DT,,,0,False,2.0
women,182,2,f,pl,N,,3.0,1,False,1.0
vanish,182,2,,pl,N,pres,,2,False,0.0
all,183,1,,pl,DT,,,0,False,2.0
women,183,2,f,pl,N,,3.0,1,False,1.0
fell,183,2,,,V,past,,2,False,0.0
all,184,1,,pl,DT,,,0,False,2.0
women,184,2,f,pl,N,,3.0,1,False,1.0
disappeared,184,3,,,V,past,,2,False,0.0
all,185,1,,pl,DT,,,0,False,2.0
women,185,2,f,pl,N,,3.0,1,False,1.0
vanished,185,3,,,N,past,,2,False,0.0
all,186,1,,pl,DT,,,0,False,2.0
men,186,1,m,pl,N,,3.0,1,False,1.0
play,186,2,,pl,N,pres,,2,False,0.0
all,187,1,,pl,DT,,,0,False,2.0
men,187,1,m,pl,N,,3.0,1,False,1.0
sing,187,2,,pl,V,pres,,2,False,0.0
all,188,1,,pl,DT,,,0,False,2.0
men,188,1,m,pl,N,,3.0,1,False,1.0
sneeze,188,2,,pl,N,pres,,2,False,0.0
all,189,1,,pl,DT,,,0,False,2.0
men,189,1,m,pl,N,,3.0,1,False,1.0
played,189,2,,,N,past,,2,False,0.0
all,190,1,,pl,DT,,,0,False,2.0
men,190,1,m,pl,N,,3.0,1,False,1.0
sang,190,2,,,N,past,,2,False,0.0
all,191,1,,pl,DT,,,0,False,2.0
men,191,1,m,pl,N,,3.0,1,False,1.0
sneezed,191,3,,,V,past,,2,False,0.0
all,192,1,,pl,DT,,,0,False,2.0
men,192,1,m,pl,N,,3.0,1,False,1.0
fall,192,2,,pl,N,pres,,2,False,0.0
all,193,1,,pl,DT,,,0,False,2.0
men,193,1,m,pl,N,,3.0,1,False,1.0
disappear,193,3,,pl,N,pres,,2,False,0.0
all,194,1,,pl,DT,,,0,False,2.0
men,194,1,m,pl,N,,3.0,1,False,1.0
vanish,194,2,,pl,N,pres,,2,False,0.0
all,195,1,,pl,DT,,,0,False,2.0
men,195,1,m,pl,N,,3.0,1,False,1.0
fell,195,2,,,V,past,,2,False,0.0
all,196,1,,pl,DT,,,0,False,2.0
men,196,1,m,pl,N,,3.0,1,False,1.0
disappeared,196,3,,,V,past,,2,False,0.0
all,197,1,,pl,DT,,,0,False,2.0
men,197,1,m,pl,N,,3.0,1,False,1.0
vanished,197,3,,,N,past,,2,False,0.0
all,198,1,,pl,DT,,,0,False,2.0
books,198,2,,pl,N,,3.0,1,False,1.0
fall,198,2,,pl,N,pres,,2,False,0.0
all,199,1,,pl,DT,,,0,False,2.0
books,199,2,,pl,N,,3.0,1,False,1.0
disappear,199,3,,pl,N,pres,,2,False,0.0
all,200,1,,pl,DT,,,0,False,2.0
books,200,2,,pl,N,,3.0,1,False,1.0
vanish,200,2,,pl,N,pres,,2,False,0.0
all,201,1,,pl,DT,,,0,False,2.0
books,201,2,,pl,N,,3.0,1,False,1.0
fell,201,2,,,V,past,,2,False,0.0
all,202,1,,pl,DT,,,0,False,2.0
books,202,2,,pl,N,,3.0,1,False,1.0
disappeared,202,3,,,V,past,,2,False,0.0
all,203,1,,pl,DT,,,0,False,2.0
books,203,2,,pl,N,,3.0,1,False,1.0
vanished,203,3,,,N,past,,2,False,0.0
Mary,204,2,f,sg,N,,3.0,0,False,1.0
plays,204,2,,sg,N,pres,3.0,1,False,0.0
Mary,205,2,f,sg,N,,3.0,0,False,1.0
sings,205,2,,sg,N,pres,3.0,1,False,0.0
Mary,206,2,f,sg,N,,3.0,0,False,1.0
sneezes,206,3,,sg,N,pres,3.0,1,False,0.0
Mary,207,2,f,sg,N,,3.0,0,False,1.0
played,207,2,,,N,past,,1,False,0.0
Mary,208,2,f,sg,N,,3.0,0,False,1.0
sang,208,2,,,N,past,,1,False,0.0
Mary,209,2,f,sg,N,,3.0,0,False,1.0
sneezed,209,3,,,V,past,,1,False,0.0
Mary,210,2,f,sg,N,,3.0,0,False,1.0
falls,210,2,,sg,N,pres,3.0,1,False,0.0
Mary,211,2,f,sg,N,,3.0,0,False,1.0
disappears,211,3,,sg,N,pres,3.0,1,False,0.0
Mary,212,2,f,sg,N,,3.0,0,False,1.0
vanishes,212,3,,sg,N,pres,3.0,1,False,0.0
Mary,213,2,f,sg,N,,3.0,0,False,1.0
fell,213,2,,,V,past,,1,False,0.0
Mary,214,2,f,sg,N,,3.0,0,False,1.0
disappeared,214,3,,,V,past,,1,False,0.0
Mary,215,2,f,sg,N,,3.0,0,False,1.0
vanished,215,3,,,N,past,,1,False,0.0
John,216,2,m,sg,N,,3.0,0,False,1.0
plays,216,2,,sg,N,pres,3.0,1,False,0.0
