sentence,prep_LEMMA,sentence_PP_attached,subj_NUM,subj_GEN,subj_ZIPF,obj_NUM,obj_GEN,obj_ZIPF,embedobj_NUM,embedobj_GEN,embedobj_ZIPF,verb_LEMMA
the woman likes the girls near the ladies.,near,peripheral,sg,f,5.35,pl,f,5.38,pl,f,4.95,like
the woman near the ladies likes the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,pl,f,4.95,like
the woman likes the girls behind the ladies.,behind,peripheral,sg,f,5.35,pl,f,5.38,pl,f,4.95,like
the woman behind the ladies likes the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,pl,f,4.95,like
the women see the girl near the lady.,near,peripheral,pl,f,5.35,sg,f,5.38,sg,f,4.95,see
the women near the lady see the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,sg,f,4.95,see
the women see the girl behind the lady.,behind,peripheral,pl,f,5.35,sg,f,5.38,sg,f,4.95,see
the women behind the lady see the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,sg,f,4.95,see
the women like the girl near the lady.,near,peripheral,pl,f,5.35,sg,f,5.38,sg,f,4.95,like
the women near the lady like the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,sg,f,4.95,like
the women like the girl behind the lady.,behind,peripheral,pl,f,5.35,sg,f,5.38,sg,f,4.95,like
the women behind the lady like the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,sg,f,4.95,like
the women see the girl near the ladies.,near,peripheral,pl,f,5.35,sg,f,5.38,pl,f,4.95,see
the women near the ladies see the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,pl,f,4.95,see
the women see the girl behind the ladies.,behind,peripheral,pl,f,5.35,sg,f,5.38,pl,f,4.95,see
the women behind the ladies see the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,pl,f,4.95,see
the women like the girl near the ladies.,near,peripheral,pl,f,5.35,sg,f,5.38,pl,f,4.95,like
the women near the ladies like the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,pl,f,4.95,like
the women like the girl behind the ladies.,behind,peripheral,pl,f,5.35,sg,f,5.38,pl,f,4.95,like
the women behind the ladies like the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,pl,f,4.95,like
the women see the girls near the lady.,near,peripheral,pl,f,5.35,pl,f,5.38,sg,f,4.95,see
the women near the lady see the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,sg,f,4.95,see
the women see the girls behind the lady.,behind,peripheral,pl,f,5.35,pl,f,5.38,sg,f,4.95,see
the women behind the lady see the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,sg,f,4.95,see
the women like the girls near the lady.,near,peripheral,pl,f,5.35,pl,f,5.38,sg,f,4.95,like
the women near the lady like the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,sg,f,4.95,like
the women like the girls behind the lady.,behind,peripheral,pl,f,5.35,pl,f,5.38,sg,f,4.95,like
the women behind the lady like the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,sg,f,4.95,like
the women see the girls near the ladies.,near,peripheral,pl,f,5.35,pl,f,5.38,pl,f,4.95,see
the women near the ladies see the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,pl,f,4.95,see
the women see the girls behind the ladies.,behind,peripheral,pl,f,5.35,pl,f,5.38,pl,f,4.95,see
the women behind the ladies see the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,pl,f,4.95,see
the women like the girls near the ladies.,near,peripheral,pl,f,5.35,pl,f,5.38,pl,f,4.95,like
the women near the ladies like the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,pl,f,4.95,like
the women like the girls behind the ladies.,behind,peripheral,pl,f,5.35,pl,f,5.38,pl,f,4.95,like
the women behind the ladies like the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,pl,f,4.95,like
the woman sees the girl near the man.,near,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.82,see
the woman near the man sees the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,sg,m,5.82,see
the woman sees the girl behind the man.,behind,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.82,see
the woman behind the man sees the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,sg,m,5.82,see
the woman likes the girl near the man.,near,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.82,like
the woman near the man likes the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,sg,m,5.82,like
the woman likes the girl behind the man.,behind,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.82,like
the woman behind the man likes the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,sg,m,5.82,like
the woman sees the girl near the men.,near,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.82,see
the woman near the men sees the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,pl,m,5.82,see
the woman sees the girl behind the men.,behind,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.82,see
the woman behind the men sees the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,pl,m,5.82,see
the woman likes the girl near the men.,near,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.82,like
the woman near the men likes the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,pl,m,5.82,like
the woman likes the girl behind the men.,behind,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.82,like
the woman behind the men likes the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,pl,m,5.82,like
the woman sees the girls near the man.,near,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.82,see
the woman near the man sees the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,sg,m,5.82,see
the woman sees the girls behind the man.,behind,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.82,see
the woman behind the man sees the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,sg,m,5.82,see
the woman likes the girls near the man.,near,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.82,like
the woman near the man likes the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,sg,m,5.82,like
the woman likes the girls behind the man.,behind,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.82,like
the woman behind the man likes the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,sg,m,5.82,like
the woman sees the girls near the men.,near,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.82,see
the woman near the men sees the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,pl,m,5.82,see
the woman sees the girls behind the men.,behind,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.82,see
the woman behind the men sees the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,pl,m,5.82,see
the woman likes the girls near the men.,near,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.82,like
the woman near the men likes the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,pl,m,5.82,like
the woman likes the girls behind the men.,behind,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.82,like
the woman behind the men likes the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,pl,m,5.82,like
the women see the girl near the man.,near,peripheral,pl,f,5.35,sg,f,5.38,sg,m,5.82,see
the women near the man see the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,sg,m,5.82,see
the women see the girl behind the man.,behind,peripheral,pl,f,5.35,sg,f,5.38,sg,m,5.82,see
the women behind the man see the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,sg,m,5.82,see
the women like the girl near the man.,near,peripheral,pl,f,5.35,sg,f,5.38,sg,m,5.82,like
the women near the man like the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,sg,m,5.82,like
the women like the girl behind the man.,behind,peripheral,pl,f,5.35,sg,f,5.38,sg,m,5.82,like
the women behind the man like the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,sg,m,5.82,like
the women see the girl near the men.,near,peripheral,pl,f,5.35,sg,f,5.38,pl,m,5.82,see
the women near the men see the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,pl,m,5.82,see
the women see the girl behind the men.,behind,peripheral,pl,f,5.35,sg,f,5.38,pl,m,5.82,see
the women behind the men see the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,pl,m,5.82,see
the women like the girl near the men.,near,peripheral,pl,f,5.35,sg,f,5.38,pl,m,5.82,like
the women near the men like the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,pl,m,5.82,like
the women like the girl behind the men.,behind,peripheral,pl,f,5.35,sg,f,5.38,pl,m,5.82,like
the women behind the men like the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,pl,m,5.82,like
the women see the girls near the man.,near,peripheral,pl,f,5.35,pl,f,5.38,sg,m,5.82,see
the women near the man see the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,sg,m,5.82,see
the women see the girls behind the man.,behind,peripheral,pl,f,5.35,pl,f,5.38,sg,m,5.82,see
the women behind the man see the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,sg,m,5.82,see
the women like the girls near the man.,near,peripheral,pl,f,5.35,pl,f,5.38,sg,m,5.82,like
the women near the man like the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,sg,m,5.82,like
the women like the girls behind the man.,behind,peripheral,pl,f,5.35,pl,f,5.38,sg,m,5.82,like
the women behind the man like the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,sg,m,5.82,like
the women see the girls near the men.,near,peripheral,pl,f,5.35,pl,f,5.38,pl,m,5.82,see
the women near the men see the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,pl,m,5.82,see
the women see the girls behind the men.,behind,peripheral,pl,f,5.35,pl,f,5.38,pl,m,5.82,see
the women behind the men see the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,pl,m,5.82,see
the women like the girls near the men.,near,peripheral,pl,f,5.35,pl,f,5.38,pl,m,5.82,like
the women near the men like the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,pl,m,5.82,like
the women like the girls behind the men.,behind,peripheral,pl,f,5.35,pl,f,5.38,pl,m,5.82,like
the women behind the men like the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,pl,m,5.82,like
the woman sees the girl near the boy.,near,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,see
the woman near the boy sees the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,sg,m,5.17,see
the woman sees the girl behind the boy.,behind,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,see
the woman behind the boy sees the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,sg,m,5.17,see
the woman likes the girl near the boy.,near,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,like
the woman near the boy likes the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,sg,m,5.17,like
the woman likes the girl behind the boy.,behind,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,like
the woman behind the boy likes the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,sg,m,5.17,like
the woman sees the girl near the boys.,near,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,see
the woman near the boys sees the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,pl,m,5.17,see
the woman sees the girl behind the boys.,behind,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,see
the woman behind the boys sees the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,pl,m,5.17,see
the woman likes the girl near the boys.,near,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,like
the woman near the boys likes the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,pl,m,5.17,like
the woman likes the girl behind the boys.,behind,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,like
the woman behind the boys likes the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,pl,m,5.17,like
the woman sees the girls near the boy.,near,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.17,see
the woman near the boy sees the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,sg,m,5.17,see
the woman sees the girls behind the boy.,behind,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.17,see
the woman behind the boy sees the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,sg,m,5.17,see
the woman likes the girls near the boy.,near,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.17,like
the woman near the boy likes the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,sg,m,5.17,like
the woman likes the girls behind the boy.,behind,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.17,like
the woman behind the boy likes the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,sg,m,5.17,like
the woman sees the girls near the boys.,near,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.17,see
the woman near the boys sees the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,pl,m,5.17,see
the woman sees the girls behind the boys.,behind,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.17,see
the woman behind the boys sees the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,pl,m,5.17,see
the woman likes the girls near the boys.,near,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.17,like
the woman near the boys likes the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,pl,m,5.17,like
the woman likes the girls behind the boys.,behind,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.17,like
the woman behind the boys likes the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,pl,m,5.17,like
the women see the girl near the boy.,near,peripheral,pl,f,5.35,sg,f,5.38,sg,m,5.17,see
the women near the boy see the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,sg,m,5.17,see
the women see the girl behind the boy.,behind,peripheral,pl,f,5.35,sg,f,5.38,sg,m,5.17,see
the women behind the boy see the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,sg,m,5.17,see
the women like the girl near the boy.,near,peripheral,pl,f,5.35,sg,f,5.38,sg,m,5.17,like
the women near the boy like the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,sg,m,5.17,like
the women like the girl behind the boy.,behind,peripheral,pl,f,5.35,sg,f,5.38,sg,m,5.17,like
the women behind the boy like the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,sg,m,5.17,like
the women see the girl near the boys.,near,peripheral,pl,f,5.35,sg,f,5.38,pl,m,5.17,see
the women near the boys see the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,pl,m,5.17,see
the women see the girl behind the boys.,behind,peripheral,pl,f,5.35,sg,f,5.38,pl,m,5.17,see
the women behind the boys see the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,pl,m,5.17,see
the women like the girl near the boys.,near,peripheral,pl,f,5.35,sg,f,5.38,pl,m,5.17,like
the women near the boys like the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,pl,m,5.17,like
the women like the girl behind the boys.,behind,peripheral,pl,f,5.35,sg,f,5.38,pl,m,5.17,like
the women behind the boys like the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,pl,m,5.17,like
the women see the girls near the boy.,near,peripheral,pl,f,5.35,pl,f,5.38,sg,m,5.17,see
the women near the boy see the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,sg,m,5.17,see
the women see the girls behind the boy.,behind,peripheral,pl,f,5.35,pl,f,5.38,sg,m,5.17,see
the women behind the boy see the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,sg,m,5.17,see
the women like the girls near the boy.,near,peripheral,pl,f,5.35,pl,f,5.38,sg,m,5.17,like
the women near the boy like the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,sg,m,5.17,like
the women like the girls behind the boy.,behind,peripheral,pl,f,5.35,pl,f,5.38,sg,m,5.17,like
the women behind the boy like the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,sg,m,5.17,like
the women see the girls near the boys.,near,peripheral,pl,f,5.35,pl,f,5.38,pl,m,5.17,see
the women near the boys see the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,pl,m,5.17,see
the women see the girls behind the boys.,behind,peripheral,pl,f,5.35,pl,f,5.38,pl,m,5.17,see
the women behind the boys see the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,pl,m,5.17,see
the women like the girls near the boys.,near,peripheral,pl,f,5.35,pl,f,5.38,pl,m,5.17,like
the women near the boys like the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,pl,m,5.17,like
the women like the girls behind the boys.,behind,peripheral,pl,f,5.35,pl,f,5.38,pl,m,5.17,like
the women behind the boys like the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,pl,m,5.17,like
the woman sees the girl near the king.,near,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,see
the woman near the king sees the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,sg,m,5.17,see
the woman sees the girl behind the king.,behind,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,see
the woman behind the king sees the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,sg,m,5.17,see
the woman likes the girl near the king.,near,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,like
the woman near the king likes the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,sg,m,5.17,like
the woman likes the girl behind the king.,behind,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,like
the woman behind the king likes the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,sg,m,5.17,like
the woman sees the girl near the kings.,near,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,see
the woman near the kings sees the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,pl,m,5.17,see
the woman sees the girl behind the kings.,behind,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,see
the woman behind the kings sees the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,pl,m,5.17,see
the woman likes the girl near the kings.,near,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,like
the woman near the kings likes the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,pl,m,5.17,like
the woman likes the girl behind the kings.,behind,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,like
the woman behind the kings likes the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,pl,m,5.17,like
the woman sees the girls near the king.,near,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.17,see
the woman near the king sees the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,sg,m,5.17,see
the woman sees the girls behind the king.,behind,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.17,see
the woman behind the king sees the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,sg,m,5.17,see
the woman likes the girls near the king.,near,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.17,like
the woman near the king likes the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,sg,m,5.17,like
the woman likes the girls behind the king.,behind,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.17,like
the woman behind the king likes the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,sg,m,5.17,like
the woman sees the girls near the kings.,near,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.17,see
the woman near the kings sees the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,pl,m,5.17,see
the woman sees the girls behind the kings.,behind,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.17,see
the woman behind the kings sees the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,pl,m,5.17,see
the woman likes the girls near the kings.,near,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.17,like
the woman near the kings likes the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,pl,m,5.17,like
the woman likes the girls behind the kings.,behind,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.17,like
the woman behind the kings likes the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,pl,m,5.17,like
the women see the girl near the king.,near,peripheral,pl,f,5.35,sg,f,5.38,sg,m,5.17,see
the women near the king see the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,sg,m,5.17,see
the women see the girl behind the king.,behind,peripheral,pl,f,5.35,sg,f,5.38,sg,m,5.17,see
the women behind the king see the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,sg,m,5.17,see
the women like the girl near the king.,near,peripheral,pl,f,5.35,sg,f,5.38,sg,m,5.17,like
the women near the king like the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,sg,m,5.17,like
the women like the girl behind the king.,behind,peripheral,pl,f,5.35,sg,f,5.38,sg,m,5.17,like
the women behind the king like the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,sg,m,5.17,like
the women see the girl near the kings.,near,peripheral,pl,f,5.35,sg,f,5.38,pl,m,5.17,see
the women near the kings see the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,pl,m,5.17,see
the women see the girl behind the kings.,behind,peripheral,pl,f,5.35,sg,f,5.38,pl,m,5.17,see
the women behind the kings see the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,pl,m,5.17,see
the women like the girl near the kings.,near,peripheral,pl,f,5.35,sg,f,5.38,pl,m,5.17,like
the women near the kings like the girl.,near,center_embedding,pl,f,5.35,sg,f,5.38,pl,m,5.17,like
the women like the girl behind the kings.,behind,peripheral,pl,f,5.35,sg,f,5.38,pl,m,5.17,like
the women behind the kings like the girl.,behind,center_embedding,pl,f,5.35,sg,f,5.38,pl,m,5.17,like
the women see the girls near the king.,near,peripheral,pl,f,5.35,pl,f,5.38,sg,m,5.17,see
the women near the king see the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,sg,m,5.17,see
the women see the girls behind the king.,behind,peripheral,pl,f,5.35,pl,f,5.38,sg,m,5.17,see
the women behind the king see the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,sg,m,5.17,see
the women like the girls near the king.,near,peripheral,pl,f,5.35,pl,f,5.38,sg,m,5.17,like
the women near the king like the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,sg,m,5.17,like
the women like the girls behind the king.,behind,peripheral,pl,f,5.35,pl,f,5.38,sg,m,5.17,like
the women behind the king like the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,sg,m,5.17,like
the women see the girls near the kings.,near,peripheral,pl,f,5.35,pl,f,5.38,pl,m,5.17,see
the women near the kings see the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,pl,m,5.17,see
the women see the girls behind the kings.,behind,peripheral,pl,f,5.35,pl,f,5.38,pl,m,5.17,see
the women behind the kings see the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,pl,m,5.17,see
the women like the girls near the kings.,near,peripheral,pl,f,5.35,pl,f,5.38,pl,m,5.17,like
the women near the kings like the girls.,near,center_embedding,pl,f,5.35,pl,f,5.38,pl,m,5.17,like
the women like the girls behind the kings.,behind,peripheral,pl,f,5.35,pl,f,5.38,pl,m,5.17,like
the women behind the kings like the girls.,behind,center_embedding,pl,f,5.35,pl,f,5.38,pl,m,5.17,like
the woman sees the lady near the girl.,near,peripheral,sg,f,5.35,sg,f,4.95,sg,f,5.38,see
the woman near the girl sees the lady.,near,center_embedding,sg,f,5.35,sg,f,4.95,sg,f,5.38,see
the woman sees the lady behind the girl.,behind,peripheral,sg,f,5.35,sg,f,4.95,sg,f,5.38,see
the woman behind the girl sees the lady.,behind,center_embedding,sg,f,5.35,sg,f,4.95,sg,f,5.38,see
the woman likes the lady near the girl.,near,peripheral,sg,f,5.35,sg,f,4.95,sg,f,5.38,like
the woman near the girl likes the lady.,near,center_embedding,sg,f,5.35,sg,f,4.95,sg,f,5.38,like
the woman likes the lady behind the girl.,behind,peripheral,sg,f,5.35,sg,f,4.95,sg,f,5.38,like
the woman behind the girl likes the lady.,behind,center_embedding,sg,f,5.35,sg,f,4.95,sg,f,5.38,like
the woman sees the lady near the girls.,near,peripheral,sg,f,5.35,sg,f,4.95,pl,f,5.38,see
the woman near the girls sees the lady.,near,center_embedding,sg,f,5.35,sg,f,4.95,pl,f,5.38,see
the woman sees the lady behind the girls.,behind,peripheral,sg,f,5.35,sg,f,4.95,pl,f,5.38,see
the woman behind the girls sees the lady.,behind,center_embedding,sg,f,5.35,sg,f,4.95,pl,f,5.38,see
the woman likes the lady near the girls.,near,peripheral,sg,f,5.35,sg,f,4.95,pl,f,5.38,like
the woman near the girls likes the lady.,near,center_embedding,sg,f,5.35,sg,f,4.95,pl,f,5.38,like
the woman likes the lady behind the girls.,behind,peripheral,sg,f,5.35,sg,f,4.95,pl,f,5.38,like
the woman behind the girls likes the lady.,behind,center_embedding,sg,f,5.35,sg,f,4.95,pl,f,5.38,like
the woman sees the ladies near the girl.,near,peripheral,sg,f,5.35,pl,f,4.95,sg,f,5.38,see
