sentence,sentence_GROUP,sentence_length,sentence_TENSE,subj_ANIM,subj_CLAUSE,subj_GEN,subj_NUM,subj_PERS,subj_ZIPF,verb_NUM,verb_PERS,verb_ZIPF
the man vanished.,sv,4,past,True,,m,sg,3,5.82,,,3.02
the prince plays.,sv,4,pres,True,,m,sg,3,4.72,sg,3.0,4.84
the prince sings.,sv,4,pres,True,,m,sg,3,4.72,sg,3.0,3.89
the prince sneezes.,sv,4,pres,True,,m,sg,3,4.72,sg,3.0,2.77
the prince played.,sv,4,past,True,,m,sg,3,4.72,,,4.84
the prince sang.,sv,4,past,True,,m,sg,3,4.72,,,3.89
the prince sneezed.,sv,4,past,True,,m,sg,3,4.72,,,2.77
the prince falls.,sv,4,pres,True,,m,sg,3,4.72,sg,3.0,4.63
the prince disappears.,sv,4,pres,True,,m,sg,3,4.72,sg,3.0,3.67
the prince vanishes.,sv,4,pres,True,,m,sg,3,4.72,sg,3.0,3.02
the prince fell.,sv,4,past,True,,m,sg,3,4.72,,,4.63
the prince disappeared.,sv,4,past,True,,m,sg,3,4.72,,,3.67
the prince vanished.,sv,4,past,True,,m,sg,3,4.72,,,3.02
the actor plays.,sv,4,pres,True,,m,sg,3,4.65,sg,3.0,4.84
the actor sings.,sv,4,pres,True,,m,sg,3,4.65,sg,3.0,3.89
the actor sneezes.,sv,4,pres,True,,m,sg,3,4.65,sg,3.0,2.77
the actor played.,sv,4,past,True,,m,sg,3,4.65,,,4.84
the actor sang.,sv,4,past,True,,m,sg,3,4.65,,,3.89
the actor sneezed.,sv,4,past,True,,m,sg,3,4.65,,,2.77
the actor falls.,sv,4,pres,True,,m,sg,3,4.65,sg,3.0,4.63
the actor disappears.,sv,4,pres,True,,m,sg,3,4.65,sg,3.0,3.67
the actor vanishes.,sv,4,pres,True,,m,sg,3,4.65,sg,3.0,3.02
the actor fell.,sv,4,past,True,,m,sg,3,4.65,,,4.63
the actor disappeared.,sv,4,past,True,,m,sg,3,4.65,,,3.67
the actor vanished.,sv,4,past,True,,m,sg,3,4.65,,,3.02
the women play.,sv,4,pres,True,,f,pl,3,5.35,pl,,4.84
the women sing.,sv,4,pres,True,,f,pl,3,5.35,pl,,3.89
the women sneeze.,sv,4,pres,True,,f,pl,3,5.35,pl,,2.77
the women played.,sv,4,past,True,,f,pl,3,5.35,,,4.84
the women sang.,sv,4,past,True,,f,pl,3,5.35,,,3.89
the women sneezed.,sv,4,past,True,,f,pl,3,5.35,,,2.77
the women fall.,sv,4,pres,True,,f,pl,3,5.35,pl,,4.63
the women disappear.,sv,4,pres,True,,f,pl,3,5.35,pl,,3.67
the women vanish.,sv,4,pres,True,,f,pl,3,5.35,pl,,3.02
the women fell.,sv,4,past,True,,f,pl,3,5.35,,,4.63
the women disappeared.,sv,4,past,True,,f,pl,3,5.35,,,3.67
the women vanished.,sv,4,past,True,,f,pl,3,5.35,,,3.02
the princesses play.,sv,4,pres,True,,f,pl,3,4.53,pl,,4.84
the princesses sing.,sv,4,pres,True,,f,pl,3,4.53,pl,,3.89
the princesses sneeze.,sv,4,pres,True,,f,pl,3,4.53,pl,,2.77
the princesses played.,sv,4,past,True,,f,pl,3,4.53,,,4.84
the princesses sang.,sv,4,past,True,,f,pl,3,4.53,,,3.89
the princesses sneezed.,sv,4,past,True,,f,pl,3,4.53,,,2.77
the princesses fall.,sv,4,pres,True,,f,pl,3,4.53,pl,,4.63
the princesses disappear.,sv,4,pres,True,,f,pl,3,4.53,pl,,3.67
the princesses vanish.,sv,4,pres,True,,f,pl,3,4.53,pl,,3.02
the princesses fell.,sv,4,past,True,,f,pl,3,4.53,,,4.63
the princesses disappeared.,sv,4,past,True,,f,pl,3,4.53,,,3.67
the princesses vanished.,sv,4,past,True,,f,pl,3,4.53,,,3.02
the actresses play.,sv,4,pres,True,,f,pl,3,4.45,pl,,4.84
the actresses sing.,sv,4,pres,True,,f,pl,3,4.45,pl,,3.89
the actresses sneeze.,sv,4,pres,True,,f,pl,3,4.45,pl,,2.77
the actresses played.,sv,4,past,True,,f,pl,3,4.45,,,4.84
the actresses sang.,sv,4,past,True,,f,pl,3,4.45,,,3.89
the actresses sneezed.,sv,4,past,True,,f,pl,3,4.45,,,2.77
the actresses fall.,sv,4,pres,True,,f,pl,3,4.45,pl,,4.63
the actresses disappear.,sv,4,pres,True,,f,pl,3,4.45,pl,,3.67
the actresses vanish.,sv,4,pres,True,,f,pl,3,4.45,pl,,3.02
the actresses fell.,sv,4,past,True,,f,pl,3,4.45,,,4.63
the actresses disappeared.,sv,4,past,True,,f,pl,3,4.45,,,3.67
the actresses vanished.,sv,4,past,True,,f,pl,3,4.45,,,3.02
the men play.,sv,4,pres,True,,m,pl,3,5.82,pl,,4.84
the men sing.,sv,4,pres,True,,m,pl,3,5.82,pl,,3.89
the men sneeze.,sv,4,pres,True,,m,pl,3,5.82,pl,,2.77
the men played.,sv,4,past,True,,m,pl,3,5.82,,,4.84
the men sang.,sv,4,past,True,,m,pl,3,5.82,,,3.89
the men sneezed.,sv,4,past,True,,m,pl,3,5.82,,,2.77
the men fall.,sv,4,pres,True,,m,pl,3,5.82,pl,,4.63
the men disappear.,sv,4,pres,True,,m,pl,3,5.82,pl,,3.67
the men vanish.,sv,4,pres,True,,m,pl,3,5.82,pl,,3.02
the men fell.,sv,4,past,True,,m,pl,3,5.82,,,4.63
the men disappeared.,sv,4,past,True,,m,pl,3,5.82,,,3.67
the men vanished.,sv,4,past,True,,m,pl,3,5.82,,,3.02
the princes play.,sv,4,pres,True,,m,pl,3,4.72,pl,,4.84
the princes sing.,sv,4,pres,True,,m,pl,3,4.72,pl,,3.89
the princes sneeze.,sv,4,pres,True,,m,pl,3,4.72,pl,,2.77
the princes played.,sv,4,past,True,,m,pl,3,4.72,,,4.84
the princes sang.,sv,4,past,True,,m,pl,3,4.72,,,3.89
the princes sneezed.,sv,4,past,True,,m,pl,3,4.72,,,2.77
the princes fall.,sv,4,pres,True,,m,pl,3,4.72,pl,,4.63
the princes disappear.,sv,4,pres,True,,m,pl,3,4.72,pl,,3.67
the princes vanish.,sv,4,pres,True,,m,pl,3,4.72,pl,,3.02
the princes fell.,sv,4,past,True,,m,pl,3,4.72,,,4.63
the princes disappeared.,sv,4,past,True,,m,pl,3,4.72,,,3.67
the princes vanished.,sv,4,past,True,,m,pl,3,4.72,,,3.02
the actors play.,sv,4,pres,True,,m,pl,3,4.65,pl,,4.84
the actors sing.,sv,4,pres,True,,m,pl,3,4.65,pl,,3.89
the actors sneeze.,sv,4,pres,True,,m,pl,3,4.65,pl,,2.77
the actors played.,sv,4,past,True,,m,pl,3,4.65,,,4.84
the actors sang.,sv,4,past,True,,m,pl,3,4.65,,,3.89
the actors sneezed.,sv,4,past,True,,m,pl,3,4.65,,,2.77
the actors fall.,sv,4,pres,True,,m,pl,3,4.65,pl,,4.63
the actors disappear.,sv,4,pres,True,,m,pl,3,4.65,pl,,3.67
the actors vanish.,sv,4,pres,True,,m,pl,3,4.65,pl,,3.02
the actors fell.,sv,4,past,True,,m,pl,3,4.65,,,4.63
the actors disappeared.,sv,4,past,True,,m,pl,3,4.65,,,3.67
the actors vanished.,sv,4,past,True,,m,pl,3,4.65,,,3.02
the book falls.,sv,4,pres,False,,,sg,3,5.43,sg,3.0,4.63
the book disappears.,sv,4,pres,False,,,sg,3,5.43,sg,3.0,3.67
the book vanishes.,sv,4,pres,False,,,sg,3,5.43,sg,3.0,3.02
the book fell.,sv,4,past,False,,,sg,3,5.43,,,4.63
the book disappeared.,sv,4,past,False,,,sg,3,5.43,,,3.67
the book vanished.,sv,4,past,False,,,sg,3,5.43,,,3.02
the plate falls.,sv,4,pres,False,,,sg,3,4.55,sg,3.0,4.63
the plate disappears.,sv,4,pres,False,,,sg,3,4.55,sg,3.0,3.67
the plate vanishes.,sv,4,pres,False,,,sg,3,4.55,sg,3.0,3.02
the plate fell.,sv,4,past,False,,,sg,3,4.55,,,4.63
the plate disappeared.,sv,4,past,False,,,sg,3,4.55,,,3.67
the plate vanished.,sv,4,past,False,,,sg,3,4.55,,,3.02
the pencil falls.,sv,4,pres,False,,,sg,3,3.95,sg,3.0,4.63
the pencil disappears.,sv,4,pres,False,,,sg,3,3.95,sg,3.0,3.67
the pencil vanishes.,sv,4,pres,False,,,sg,3,3.95,sg,3.0,3.02
the pencil fell.,sv,4,past,False,,,sg,3,3.95,,,4.63
the pencil disappeared.,sv,4,past,False,,,sg,3,3.95,,,3.67
the pencil vanished.,sv,4,past,False,,,sg,3,3.95,,,3.02
the books fall.,sv,4,pres,False,,,pl,3,5.43,pl,,4.63
the books disappear.,sv,4,pres,False,,,pl,3,5.43,pl,,3.67
the books vanish.,sv,4,pres,False,,,pl,3,5.43,pl,,3.02
the books fell.,sv,4,past,False,,,pl,3,5.43,,,4.63
the books disappeared.,sv,4,past,False,,,pl,3,5.43,,,3.67
the books vanished.,sv,4,past,False,,,pl,3,5.43,,,3.02
the plates fall.,sv,4,pres,False,,,pl,3,4.55,pl,,4.63
the plates disappear.,sv,4,pres,False,,,pl,3,4.55,pl,,3.67
the plates vanish.,sv,4,pres,False,,,pl,3,4.55,pl,,3.02
the plates fell.,sv,4,past,False,,,pl,3,4.55,,,4.63
the plates disappeared.,sv,4,past,False,,,pl,3,4.55,,,3.67
the plates vanished.,sv,4,past,False,,,pl,3,4.55,,,3.02
the pencils fall.,sv,4,pres,False,,,pl,3,3.95,pl,,4.63
the pencils disappear.,sv,4,pres,False,,,pl,3,3.95,pl,,3.67
the pencils vanish.,sv,4,pres,False,,,pl,3,3.95,pl,,3.02
the pencils fell.,sv,4,past,False,,,pl,3,3.95,,,4.63
the pencils disappeared.,sv,4,past,False,,,pl,3,3.95,,,3.67
the pencils vanished.,sv,4,past,False,,,pl,3,3.95,,,3.02
I play.,sv,3,pres,True,,,sg,1,7.09,sg,1.0,4.84
I sing.,sv,3,pres,True,,,sg,1,7.09,sg,1.0,3.89
I sneeze.,sv,3,pres,True,,,sg,1,7.09,sg,1.0,2.77
I played.,sv,3,past,True,,,sg,1,7.09,,,4.84
I sang.,sv,3,past,True,,,sg,1,7.09,,,3.89
I sneezed.,sv,3,past,True,,,sg,1,7.09,,,2.77
I fall.,sv,3,pres,True,,,sg,1,7.09,sg,1.0,4.63
I disappear.,sv,3,pres,True,,,sg,1,7.09,sg,1.0,3.67
I vanish.,sv,3,pres,True,,,sg,1,7.09,sg,1.0,3.02
I fell.,sv,3,past,True,,,sg,1,7.09,,,4.63
I disappeared.,sv,3,past,True,,,sg,1,7.09,,,3.67
I vanished.,sv,3,past,True,,,sg,1,7.09,,,3.02
you play.,sv,3,pres,True,,,,2,6.98,pl,,4.84
you sing.,sv,3,pres,True,,,,2,6.98,pl,,3.89
you sneeze.,sv,3,pres,True,,,,2,6.98,pl,,2.77
you played.,sv,3,past,True,,,,2,6.98,,,4.84
you sang.,sv,3,past,True,,,,2,6.98,,,3.89
you sneezed.,sv,3,past,True,,,,2,6.98,,,2.77
you fall.,sv,3,pres,True,,,,2,6.98,pl,,4.63
you disappear.,sv,3,pres,True,,,,2,6.98,pl,,3.67
you vanish.,sv,3,pres,True,,,,2,6.98,pl,,3.02
you fell.,sv,3,past,True,,,,2,6.98,,,4.63
you disappeared.,sv,3,past,True,,,,2,6.98,,,3.67
you vanished.,sv,3,past,True,,,,2,6.98,,,3.02
he plays.,sv,3,pres,True,,m,sg,3,6.69,sg,3.0,4.84
he sings.,sv,3,pres,True,,m,sg,3,6.69,sg,3.0,3.89
he sneezes.,sv,3,pres,True,,m,sg,3,6.69,sg,3.0,2.77
he played.,sv,3,past,True,,m,sg,3,6.69,,,4.84
he sang.,sv,3,past,True,,m,sg,3,6.69,,,3.89
he sneezed.,sv,3,past,True,,m,sg,3,6.69,,,2.77
he falls.,sv,3,pres,True,,m,sg,3,6.69,sg,3.0,4.63
he disappears.,sv,3,pres,True,,m,sg,3,6.69,sg,3.0,3.67
he vanishes.,sv,3,pres,True,,m,sg,3,6.69,sg,3.0,3.02
he fell.,sv,3,past,True,,m,sg,3,6.69,,,4.63
he disappeared.,sv,3,past,True,,m,sg,3,6.69,,,3.67
he vanished.,sv,3,past,True,,m,sg,3,6.69,,,3.02
she plays.,sv,3,pres,True,,f,sg,3,6.26,sg,3.0,4.84
she sings.,sv,3,pres,True,,f,sg,3,6.26,sg,3.0,3.89
she sneezes.,sv,3,pres,True,,f,sg,3,6.26,sg,3.0,2.77
she played.,sv,3,past,True,,f,sg,3,6.26,,,4.84
she sang.,sv,3,past,True,,f,sg,3,6.26,,,3.89
she sneezed.,sv,3,past,True,,f,sg,3,6.26,,,2.77
she falls.,sv,3,pres,True,,f,sg,3,6.26,sg,3.0,4.63
she disappears.,sv,3,pres,True,,f,sg,3,6.26,sg,3.0,3.67
she vanishes.,sv,3,pres,True,,f,sg,3,6.26,sg,3.0,3.02
she fell.,sv,3,past,True,,f,sg,3,6.26,,,4.63
she disappeared.,sv,3,past,True,,f,sg,3,6.26,,,3.67
she vanished.,sv,3,past,True,,f,sg,3,6.26,,,3.02
it falls.,sv,3,pres,False,,,sg,3,6.95,sg,3.0,4.63
it disappears.,sv,3,pres,False,,,sg,3,6.95,sg,3.0,3.67
it vanishes.,sv,3,pres,False,,,sg,3,6.95,sg,3.0,3.02
it fell.,sv,3,past,False,,,sg,3,6.95,,,4.63
it disappeared.,sv,3,past,False,,,sg,3,6.95,,,3.67
it vanished.,sv,3,past,False,,,sg,3,6.95,,,3.02
we play.,sv,3,pres,True,,,pl,1,6.54,pl,,4.84
we sing.,sv,3,pres,True,,,pl,1,6.54,pl,,3.89
we sneeze.,sv,3,pres,True,,,pl,1,6.54,pl,,2.77
we played.,sv,3,past,True,,,pl,1,6.54,,,4.84
we sang.,sv,3,past,True,,,pl,1,6.54,,,3.89
we sneezed.,sv,3,past,True,,,pl,1,6.54,,,2.77
we fall.,sv,3,pres,True,,,pl,1,6.54,pl,,4.63
we disappear.,sv,3,pres,True,,,pl,1,6.54,pl,,3.67
we vanish.,sv,3,pres,True,,,pl,1,6.54,pl,,3.02
we fell.,sv,3,past,True,,,pl,1,6.54,,,4.63
we disappeared.,sv,3,past,True,,,pl,1,6.54,,,3.67
we vanished.,sv,3,past,True,,,pl,1,6.54,,,3.02
they play.,sv,3,pres,True,,,pl,3,6.5,pl,,4.84
they sing.,sv,3,pres,True,,,pl,3,6.5,pl,,3.89
they sneeze.,sv,3,pres,True,,,pl,3,6.5,pl,,2.77
they played.,sv,3,past,True,,,pl,3,6.5,,,4.84
they sang.,sv,3,past,True,,,pl,3,6.5,,,3.89
they sneezed.,sv,3,past,True,,,pl,3,6.5,,,2.77
they fall.,sv,3,pres,True,,,pl,3,6.5,pl,,4.63
they disappear.,sv,3,pres,True,,,pl,3,6.5,pl,,3.67
they vanish.,sv,3,pres,True,,,pl,3,6.5,pl,,3.02
they fell.,sv,3,past,True,,,pl,3,6.5,,,4.63
they disappeared.,sv,3,past,True,,,pl,3,6.5,,,3.67
they vanished.,sv,3,past,True,,,pl,3,6.5,,,3.02
who plays?,question,3,pres,True,subjwho,,,3,6.34,sg,3.0,4.84
who sings?,question,3,pres,True,subjwho,,,3,6.34,sg,3.0,3.89
who sneezes?,question,3,pres,True,subjwho,,,3,6.34,sg,3.0,2.77
who played?,question,3,past,True,subjwho,,,3,6.34,,,4.84
who sang?,question,3,past,True,subjwho,,,3,6.34,,,3.89
who sneezed?,question,3,past,True,subjwho,,,3,6.34,,,2.77
who falls?,question,3,pres,True,subjwho,,,3,6.34,sg,3.0,4.63
who disappears?,question,3,pres,True,subjwho,,,3,6.34,sg,3.0,3.67
who vanishes?,question,3,pres,True,subjwho,,,3,6.34,sg,3.0,3.02
who fell?,question,3,past,True,subjwho,,,3,6.34,,,4.63
who disappeared?,question,3,past,True,subjwho,,,3,6.34,,,3.67
who vanished?,question,3,past,True,subjwho,,,3,6.34,,,3.02
which woman plays?,question,4,pres,True,subjwhich,f,sg,3,5.35,sg,3.0,4.84
which woman sings?,question,4,pres,True,subjwhich,f,sg,3,5.35,sg,3.0,3.89
which woman sneezes?,question,4,pres,True,subjwhich,f,sg,3,5.35,sg,3.0,2.77
which woman played?,question,4,past,True,subjwhich,f,sg,3,5.35,,,4.84
which woman sang?,question,4,past,True,subjwhich,f,sg,3,5.35,,,3.89
which woman sneezed?,question,4,past,True,subjwhich,f,sg,3,5.35,,,2.77
which woman falls?,question,4,pres,True,subjwhich,f,sg,3,5.35,sg,3.0,4.63
which woman disappears?,question,4,pres,True,subjwhich,f,sg,3,5.35,sg,3.0,3.67
which woman vanishes?,question,4,pres,True,subjwhich,f,sg,3,5.35,sg,3.0,3.02
which woman fell?,question,4,past,True,subjwhich,f,sg,3,5.35,,,4.63
which woman disappeared?,question,4,past,True,subjwhich,f,sg,3,5.35,,,3.67
which woman vanished?,question,4,past,True,subjwhich,f,sg,3,5.35,,,3.02
which princess plays?,question,4,pres,True,subjwhich,f,sg,3,4.53,sg,3.0,4.84
which princess sings?,question,4,pres,True,subjwhich,f,sg,3,4.53,sg,3.0,3.89
which princess sneezes?,question,4,pres,True,subjwhich,f,sg,3,4.53,sg,3.0,2.77
which princess played?,question,4,past,True,subjwhich,f,sg,3,4.53,,,4.84
which princess sang?,question,4,past,True,subjwhich,f,sg,3,4.53,,,3.89
which princess sneezed?,question,4,past,True,subjwhich,f,sg,3,4.53,,,2.77
which princess falls?,question,4,pres,True,subjwhich,f,sg,3,4.53,sg,3.0,4.63
which princess disappears?,question,4,pres,True,subjwhich,f,sg,3,4.53,sg,3.0,3.67
which princess vanishes?,question,4,pres,True,subjwhich,f,sg,3,4.53,sg,3.0,3.02
which princess fell?,question,4,past,True,subjwhich,f,sg,3,4.53,,,4.63
which princess disappeared?,question,4,past,True,subjwhich,f,sg,3,4.53,,,3.67
which princess vanished?,question,4,past,True,subjwhich,f,sg,3,4.53,,,3.02
which actress plays?,question,4,pres,True,subjwhich,f,sg,3,4.45,sg,3.0,4.84
which actress sings?,question,4,pres,True,subjwhich,f,sg,3,4.45,sg,3.0,3.89
which actress sneezes?,question,4,pres,True,subjwhich,f,sg,3,4.45,sg,3.0,2.77
which actress played?,question,4,past,True,subjwhich,f,sg,3,4.45,,,4.84
which actress sang?,question,4,past,True,subjwhich,f,sg,3,4.45,,,3.89
which actress sneezed?,question,4,past,True,subjwhich,f,sg,3,4.45,,,2.77
which actress falls?,question,4,pres,True,subjwhich,f,sg,3,4.45,sg,3.0,4.63
which actress disappears?,question,4,pres,True,subjwhich,f,sg,3,4.45,sg,3.0,3.67
which actress vanishes?,question,4,pres,True,subjwhich,f,sg,3,4.45,sg,3.0,3.02
