sentence,subj_type,subj_PERS,subj_NUM,subj_GEN,subj_ANIM,verb_type,verb_PERS,verb_NUM,verb_finite,has_main,has_embed,has_objrel,has_relative_clause,has_subjrel,incongruence_poss_subj_count,incongruence_poss_obj_count,incongruence_subj_obj_count,incongruence_subj_embedsubj_count,rel_type,clause_type,bound_variable,mean_zipf,sentence_length,long_range_agreement_with_attractor
Mary sees all women.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
Mary sees all men.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,5,
Mary sees me.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
Mary sees you.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
Mary sees him.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
Mary sees her.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,4,
Mary sees it.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
Mary sees us.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,4,
Mary sees them.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
Mary sees herself.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,4,
Mary saw John.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
Mary saw the woman.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
Mary saw the man.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
Mary saw the women.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
Mary saw the men.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
Mary saw the book.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
Mary saw the books.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
Mary saw every woman.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
Mary saw every man.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
Mary saw all women.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
Mary saw all men.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
Mary saw me.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
Mary saw you.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
Mary saw him.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
Mary saw her.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,4,
Mary saw it.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
Mary saw us.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,4,
Mary saw them.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
Mary saw herself.,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,4,
John plays.,PropN,3.0,sg,m,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,5.0,3,
John played.,PropN,3.0,sg,m,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,3,
John falls.,PropN,3.0,sg,m,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,5.0,3,
John fell.,PropN,3.0,sg,m,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,3,
John sees Mary.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
John sees the woman.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
John sees the man.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,5,
John sees the women.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,5,
John sees the men.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
John sees the book.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
John sees the books.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,5,
John sees every woman.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
John sees every man.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,5,
John sees all women.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,5,
John sees all men.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
John sees me.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
John sees you.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
John sees him.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,4,
John sees her.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
John sees it.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
John sees us.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,4,
John sees them.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
John sees himself.,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,4,
John saw Mary.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
John saw the woman.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
John saw the man.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
John saw the women.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
John saw the men.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
John saw the book.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
John saw the books.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
John saw every woman.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
John saw every man.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
John saw all women.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
John saw all men.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
John saw me.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
John saw you.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
John saw him.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,4,
John saw her.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
John saw it.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
John saw us.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,4,
John saw them.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
John saw himself.,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,4,
the woman plays.,N,3.0,sg,f,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,5.0,4,
the woman played.,N,3.0,sg,f,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the woman falls.,N,3.0,sg,f,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,4.0,4,
the woman fell.,N,3.0,sg,f,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the woman sees Mary.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,5,
the woman sees John.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
the woman sees the man.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,6,
the woman sees the men.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,6,
the woman sees the book.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,6,
the woman sees the books.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,6,
the woman sees every man.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,6,
the woman sees all men.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,6,
the woman sees me.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
the woman sees you.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
the woman sees him.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
the woman sees her.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,5,
the woman sees it.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
the woman sees us.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,5,
the woman sees them.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
the woman sees herself.,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,5,
the woman saw Mary.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the woman saw John.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the woman saw the man.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the woman saw the men.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the woman saw the book.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the woman saw the books.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the woman saw every man.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the woman saw all men.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the woman saw me.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the woman saw you.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the woman saw him.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the woman saw her.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the woman saw it.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the woman saw us.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the woman saw them.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the woman saw herself.,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the man plays.,N,3.0,sg,m,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,5.0,4,
the man played.,N,3.0,sg,m,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the man falls.,N,3.0,sg,m,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,5.0,4,
the man fell.,N,3.0,sg,m,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the man sees Mary.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man sees John.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the man sees the woman.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the man sees the women.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the man sees the book.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the man sees the books.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the man sees every woman.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the man sees all women.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the man sees me.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man sees you.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man sees him.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the man sees her.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man sees it.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man sees us.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the man sees them.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man sees himself.,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the man saw Mary.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man saw John.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the man saw the woman.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the man saw the women.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the man saw the book.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the man saw the books.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the man saw every woman.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the man saw all women.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the man saw me.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man saw you.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man saw him.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the man saw her.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man saw it.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man saw us.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the man saw them.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man saw himself.,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the women play.,N,3.0,pl,f,True,Intrans,,pl,True,False,False,False,False,False,,,,,,,,5.0,4,
the women played.,N,3.0,pl,f,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the women fall.,N,3.0,pl,f,True,Intrans,,pl,True,False,False,False,False,False,,,,,,,,5.0,4,
the women fell.,N,3.0,pl,f,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the women see Mary.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women see John.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women see the man.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the women see the men.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the women see the book.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the women see the books.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the women see every man.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the women see all men.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the women see me.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women see you.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women see him.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women see her.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women see it.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women see us.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women see them.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the women see themselves.,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the women saw Mary.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women saw John.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women saw the man.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the women saw the men.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the women saw the book.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the women saw the books.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the women saw every man.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the women saw all men.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the women saw me.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women saw you.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women saw him.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women saw her.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women saw it.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women saw us.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women saw them.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the women saw themselves.,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the men play.,N,3.0,pl,m,True,Intrans,,pl,True,False,False,False,False,False,,,,,,,,5.0,4,
the men played.,N,3.0,pl,m,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the men fall.,N,3.0,pl,m,True,Intrans,,pl,True,False,False,False,False,False,,,,,,,,5.0,4,
the men fell.,N,3.0,pl,m,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the men see Mary.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the men see John.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the men see the woman.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the men see the women.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the men see the book.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the men see the books.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the men see every woman.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the men see all women.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the men see me.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the men see you.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the men see him.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the men see her.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the men see it.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the men see us.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the men see them.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the men see themselves.,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the men saw Mary.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the men saw John.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the men saw the woman.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the men saw the women.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the men saw the book.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the men saw the books.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the men saw every woman.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the men saw all women.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the men saw me.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the men saw you.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the men saw him.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the men saw her.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the men saw it.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the men saw us.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the men saw them.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the men saw themselves.,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the book fell.,N,3.0,sg,,False,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the books fell.,N,3.0,pl,,False,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
every woman plays.,N,3.0,sg,f,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,5.0,4,
every woman played.,N,3.0,sg,f,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
every woman falls.,N,3.0,sg,f,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,4.0,4,
every woman fell.,N,3.0,sg,f,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
