sentence,sentence_GROUP,subj_TYPE,subj_ANIM,subj_GEN,subj_NUM,subj_PERS,sentence_TENSE,verb_ZIPF
Lex sneezes.,sv,PropN,True,m,sg,3,pres,2.5
Lex played.,sv,PropN,True,m,sg,3,past,4.5
Lex sang.,sv,PropN,True,m,sg,3,past,3.5
Lex sneezed.,sv,PropN,True,m,sg,3,past,2.5
Lex falls.,sv,PropN,True,m,sg,3,pres,4.5
Lex disappears.,sv,PropN,True,m,sg,3,pres,3.5
Lex vanishes.,sv,PropN,True,m,sg,3,pres,3.0
Lex fell.,sv,PropN,True,m,sg,3,past,4.5
Lex disappeared.,sv,PropN,True,m,sg,3,past,3.5
Lex vanished.,sv,PropN,True,m,sg,3,past,3.0
I play.,sv,PRO,True,,sg,1,pres,4.5
I sing.,sv,PRO,True,,sg,1,pres,3.5
I sneeze.,sv,PRO,True,,sg,1,pres,2.5
I played.,sv,PRO,True,,sg,1,past,4.5
I sang.,sv,PRO,True,,sg,1,past,3.5
I sneezed.,sv,PRO,True,,sg,1,past,2.5
I fall.,sv,PRO,True,,sg,1,pres,4.5
I disappear.,sv,PRO,True,,sg,1,pres,3.5
I vanish.,sv,PRO,True,,sg,1,pres,3.0
I fell.,sv,PRO,True,,sg,1,past,4.5
I disappeared.,sv,PRO,True,,sg,1,past,3.5
I vanished.,sv,PRO,True,,sg,1,past,3.0
you play.,sv,PRO,True,,,2,pres,4.5
you sing.,sv,PRO,True,,,2,pres,3.5
you sneeze.,sv,PRO,True,,,2,pres,2.5
you played.,sv,PRO,True,,,2,past,4.5
you sang.,sv,PRO,True,,,2,past,3.5
you sneezed.,sv,PRO,True,,,2,past,2.5
you fall.,sv,PRO,True,,,2,pres,4.5
you disappear.,sv,PRO,True,,,2,pres,3.5
you vanish.,sv,PRO,True,,,2,pres,3.0
you fell.,sv,PRO,True,,,2,past,4.5
you disappeared.,sv,PRO,True,,,2,past,3.5
you vanished.,sv,PRO,True,,,2,past,3.0
he plays.,sv,PRO,True,m,sg,3,pres,4.5
he sings.,sv,PRO,True,m,sg,3,pres,3.5
he sneezes.,sv,PRO,True,m,sg,3,pres,2.5
he played.,sv,PRO,True,m,sg,3,past,4.5
he sang.,sv,PRO,True,m,sg,3,past,3.5
he sneezed.,sv,PRO,True,m,sg,3,past,2.5
he falls.,sv,PRO,True,m,sg,3,pres,4.5
he disappears.,sv,PRO,True,m,sg,3,pres,3.5
he vanishes.,sv,PRO,True,m,sg,3,pres,3.0
he fell.,sv,PRO,True,m,sg,3,past,4.5
he disappeared.,sv,PRO,True,m,sg,3,past,3.5
he vanished.,sv,PRO,True,m,sg,3,past,3.0
she plays.,sv,PRO,True,f,sg,3,pres,4.5
she sings.,sv,PRO,True,f,sg,3,pres,3.5
she sneezes.,sv,PRO,True,f,sg,3,pres,2.5
she played.,sv,PRO,True,f,sg,3,past,4.5
she sang.,sv,PRO,True,f,sg,3,past,3.5
she sneezed.,sv,PRO,True,f,sg,3,past,2.5
she falls.,sv,PRO,True,f,sg,3,pres,4.5
she disappears.,sv,PRO,True,f,sg,3,pres,3.5
she vanishes.,sv,PRO,True,f,sg,3,pres,3.0
she fell.,sv,PRO,True,f,sg,3,past,4.5
she disappeared.,sv,PRO,True,f,sg,3,past,3.5
she vanished.,sv,PRO,True,f,sg,3,past,3.0
it falls.,sv,PRO,False,,sg,3,pres,4.5
it disappears.,sv,PRO,False,,sg,3,pres,3.5
it vanishes.,sv,PRO,False,,sg,3,pres,3.0
it fell.,sv,PRO,False,,sg,3,past,4.5
it disappeared.,sv,PRO,False,,sg,3,past,3.5
it vanished.,sv,PRO,False,,sg,3,past,3.0
we play.,sv,PRO,True,,pl,1,pres,4.5
we sing.,sv,PRO,True,,pl,1,pres,3.5
we sneeze.,sv,PRO,True,,pl,1,pres,2.5
we played.,sv,PRO,True,,pl,1,past,4.5
we sang.,sv,PRO,True,,pl,1,past,3.5
we sneezed.,sv,PRO,True,,pl,1,past,2.5
we fall.,sv,PRO,True,,pl,1,pres,4.5
we disappear.,sv,PRO,True,,pl,1,pres,3.5
we vanish.,sv,PRO,True,,pl,1,pres,3.0
we fell.,sv,PRO,True,,pl,1,past,4.5
we disappeared.,sv,PRO,True,,pl,1,past,3.5
we vanished.,sv,PRO,True,,pl,1,past,3.0
they play.,sv,PRO,True,,pl,3,pres,4.5
they sing.,sv,PRO,True,,pl,3,pres,3.5
they sneeze.,sv,PRO,True,,pl,3,pres,2.5
they played.,sv,PRO,True,,pl,3,past,4.5
they sang.,sv,PRO,True,,pl,3,past,3.5
they sneezed.,sv,PRO,True,,pl,3,past,2.5
they fall.,sv,PRO,True,,pl,3,pres,4.5
they disappear.,sv,PRO,True,,pl,3,pres,3.5
they vanish.,sv,PRO,True,,pl,3,pres,3.0
they fell.,sv,PRO,True,,pl,3,past,4.5
they disappeared.,sv,PRO,True,,pl,3,past,3.5
they vanished.,sv,PRO,True,,pl,3,past,3.0
who plays?,question,PRO,True,,,3,pres,4.5
who sings?,question,PRO,True,,,3,pres,3.5
who sneezes?,question,PRO,True,,,3,pres,2.5
who played?,question,PRO,True,,,3,past,4.5
who sang?,question,PRO,True,,,3,past,3.5
who sneezed?,question,PRO,True,,,3,past,2.5
who falls?,question,PRO,True,,,3,pres,4.5
who disappears?,question,PRO,True,,,3,pres,3.5
who vanishes?,question,PRO,True,,,3,pres,3.0
who fell?,question,PRO,True,,,3,past,4.5
who disappeared?,question,PRO,True,,,3,past,3.5
who vanished?,question,PRO,True,,,3,past,3.0
